,Province,City,District / County,Post Code,Address,Latitude,Longitude
96,Anhui,Chizhou,Dongzhi,247200,"Dongzhi,Chizhou,Anhui,China",30.0984137,117.0175054
97,Anhui,Chizhou,Shitai,245100,"Shitai,Chizhou,Anhui,China",30.2131783,117.4760338
98,Anhui,Xuancheng,Xuanzhou,242000,"Xuanzhou,Xuancheng,Anhui,China",30.9467006,118.7805889
99,Anhui,Xuancheng,Jingxian,242500,"Jingxian,Xuancheng,Anhui,China",30.6899718,118.4079411
100,Anhui,Xuancheng,Ningguo,242300,"Ningguo,Xuancheng,Anhui,China",30.6353605,118.9867301
101,Anhui,Xuancheng,Langxi,242100,"Langxi,Xuancheng,Anhui,China",31.1314144,119.1768481
102,Anhui,Xuancheng,Guangde,242200,"Guangde,Xuancheng,Anhui,China",30.8791923,119.4154142
103,Anhui,Xuancheng,Jixi,245300,"Jixi,Xuancheng,Anhui,China",30.0650941,118.5819033
104,Anhui,Xuancheng,Jingde,242600,"Jingde,Xuancheng,Anhui,China",30.2975011,118.5415247
105,Beijing,Beijing,Dongcheng,100000,"Dongcheng,Beijing,China",39.9269012,116.4100395
106,Beijing,Beijing,Xicheng,100000,"Xicheng,Beijing,China",39.9108672,116.3599221
107,Beijing,Beijing,Chaoyang,100000,"Chaoyang,Beijing,China",39.9204498,116.4369109
108,Beijing,Beijing,Fengtai,100000,"Fengtai,Beijing,China",39.8571176,116.2804172
109,Beijing,Beijing,Shijingshan,100000,"Shijingshan,Beijing,China",39.9046102,116.216797
110,Beijing,Beijing,Haidian,100000,"Haidian,Beijing,China",39.9580718,116.292405
111,Beijing,Beijing,Mentougou,102300,"Mentougou,Beijing,China",39.9389983,116.0947568
112,Beijing,Beijing,Fangshan,102400,"Fangshan,Beijing,China",39.7145318,115.860500796504
113,Beijing,Beijing,Tongzhou,101100,"Tongzhou,Beijing,China",39.9088246,116.651169
114,Beijing,Beijing,Shunyi,101300,"Shunyi,Beijing,China",40.1293744,116.6487311
115,Beijing,Beijing,Changping,102200,"Changping,Beijing,China",40.2141429,116.17226818842
116,Beijing,Beijing,Daxing,102600,"Daxing,Beijing,China",39.725413,116.3354417
117,Beijing,Beijing,Huairou,101400,"Huairou,Beijing,China",40.3154808,116.626028
118,Beijing,Beijing,Pinggu,101200,"Pinggu,Beijing,China",40.1390433,117.1146953
119,Beijing,Beijing,Miyun,101500,"Miyun,Beijing,China",40.3751032,116.8371838
120,Beijing,Beijing,Yanqing,102100,"Yanqing,Beijing,China",40.4568127,115.9705791
121,Chongqing,Chongqing,Wanzhou,404100,"Wanzhou,Chongqing,China",30.7136179,108.3926525
122,Chongqing,Chongqing,Fuling ,408000,"Fuling ,Chongqing,China",29.660589,107.332003
123,Chongqing,Chongqing,Yuzhong,400000,"Yuzhong,Chongqing,China",29.555552,106.56522
124,Chongqing,Chongqing,Dadukou,400000,"Dadukou,Chongqing,China",29.4227309,106.457056
125,Chongqing,Chongqing,Jiangbei,400000,"Jiangbei,Chongqing,China",29.6092601,106.5705871
126,Chongqing,Chongqing,Shapingba,400000,"Shapingba,Chongqing,China",29.6329905,106.396698
127,Chongqing,Chongqing,Jiulongpo,400000,"Jiulongpo,Chongqing,China",29.436043,106.360341
128,Chongqing,Chongqing,Nan'an,400000,"Nan'an,Chongqing,China",29.5249359,106.5598476
129,Chongqing,Chongqing,Beibei,400700,"Beibei,Chongqing,China",29.8073862,106.3922433
130,Chongqing,Chongqing,Wansheng,400800,"Wansheng,Chongqing,China",28.9653277,106.92152
131,Chongqing,Chongqing,Shuangqiao,400900,"Shuangqiao,Chongqing,China",29.5625484,105.7589169
132,Chongqing,Chongqing,Yubei,401120,"Yubei,Chongqing,China",29.7208058,106.6274474
133,Chongqing,Chongqing,Ba'nan,401320,"Ba'nan,Chongqing,China",29.3836972,106.5204433
134,Chongqing,Chongqing,Qianjiang,409000,"Qianjiang,Chongqing,China",29.536148,108.7673528
135,Chongqing,Chongqing,Changshou,401220,"Changshou,Chongqing,China",29.956916,107.135375
136,Chongqing,Chongqing,Jiangjin,402260,"Jiangjin,Chongqing,China",29.0312579,106.2732111
137,Chongqing,Chongqing,Hechuan,401520,"Hechuan,Chongqing,China",29.9746891,106.272238
138,Chongqing,Chongqing,Yongchuan,402160,"Yongchuan,Chongqing,China",29.29285,105.870081
139,Chongqing,Chongqing,Nanchuan,408400,"Nanchuan,Chongqing,China",29.1521509,107.1827786
140,Chongqing,Chongqing,County,Zip Code,"County,Chongqing,China",29.5585712,106.5492822
141,Chongqing,Chongqing,Qijiang,401420,"Qijiang,Chongqing,China",29.0308891,106.647742
