,Name,Category,Latitude,Longitude,address,Province,City,District / County
70,Din Tai Fung (鼎泰丰),Dumpling Restaurant,39.94513119136509,116.43877772141599,24 Xinyuan Xili M St,Beijing,Beijing,Dongcheng
71,InterContinental Beijing Sanlitun (北京三里屯通盈中心洲际酒店),Hotel,39.93140938840894,116.4490999747531,1 S Sanlitun Rd,Beijing,Beijing,Dongcheng
72,New World Beijing Hotel (北京新世界酒店),Hotel,39.897296488684425,116.40592320111824,8 Qinian Street,Beijing,Beijing,Dongcheng
73,The Opposite House (瑜舍),Hotel,39.93623854878213,116.44864160393983,"Bldg 1, 11 Sanlitun Rd",Beijing,Beijing,Dongcheng
74,Apple Xidan Joy City (Apple 西单大悦城),Electronics Store,39.909209536859834,116.36731624603271,"西单北大街131号, 大悦城, 西城区",Beijing,Beijing,Xicheng
75,The Westin Beijing Financial Street (北京金融街威斯汀大酒店),Hotel,39.915670300499386,116.35351315916103,"9C Financial Street, XiCheng District",Beijing,Beijing,Xicheng
76,Galeries Lafayette 老佛爷百货,Department Store,39.91272435422194,116.36762153023346,110 N Xidan St,Beijing,Beijing,Xicheng
77,Joy City (大悦城),Shopping Mall,39.90943264579762,116.36745859440644,131 Xidan N Ave,Beijing,Beijing,Xicheng
78,Capital Museum (首都博物馆),History Museum,39.90547500363378,116.33618364556303,16 Fuxingmen Outer St,Beijing,Beijing,Xicheng
79,Xidan Metro Station (地铁西单站),Metro Station,39.90666929267448,116.36799470073176,Xidan N St,Beijing,Beijing,Xicheng
80,National Centre for the Performing Arts (国家大剧院),Performing Arts Venue,39.903935870562655,116.38354141408601,2 W. Chang'an Ave.,Beijing,Beijing,Xicheng
81,Beihai Park (北海公园),Park,39.92207949928855,116.38331069153004,1 Wenjin St,Beijing,Beijing,Xicheng
82,Zhongshan Park (Zhongshan Park 中山公园),Park,39.908765132544616,116.38860225677489,West Chang'an St,Beijing,Beijing,Xicheng
83,Great Hall of the People (人民大会堂),Capitol Building,39.9034155951341,116.3874864578247,Guangchang West Side Rd,Beijing,Beijing,Xicheng
84,Gate of Supreme Harmony (太和门),Historic Site,39.91371929434656,116.39088043068145,4 Jingshan Front St,Beijing,Beijing,Xicheng
85,Hall of Supreme Harmony (太和殿),Historic Site,39.915466461530265,116.39086168289484,4 Jingshan Front St,Beijing,Beijing,Xicheng
86,Hall of Central Harmony (中和殿),Historic Site,39.91630354654006,116.39074709206193,4 Jingshan Front St,Beijing,Beijing,Xicheng
87,Forbidden City (Palace Museum) (故宫（博物院）),History Museum,39.91770204306014,116.39066219329834,4 Jingshan Front St,Beijing,Beijing,Xicheng
88,Hall of Preserving Harmony (保和殿),Historic Site,39.91679870678914,116.39080883242923,4 Jingshan Front St,Beijing,Beijing,Xicheng
89,Palace of Heavenly Purity (乾清宫),Historic Site,39.91849073015163,116.39063683482365,4 Jingshan Front St,Beijing,Beijing,Xicheng
90,端门,Historic Site,39.90869438551294,116.3911917488673,北京市东城区,Beijing,Beijing,Xicheng
91,Tian'anmen Tower (天安门城楼),Historic Site,39.90656228127186,116.39158218479662,天安门附近,Beijing,Beijing,Xicheng
92,Meridian Gate (午门),Historic Site,39.91133514459632,116.39099425540887,4 Jingshan Front St,Beijing,Beijing,Xicheng
93,Gate of Divine Might (神武门 Gate of Divine Might),Historic Site,39.921316157985224,116.39056771749101,4 Jingshan Front St,Beijing,Beijing,Xicheng
94,Wanchun Pavilion (万春亭),Historic Site,39.923488838611725,116.39042011936871,44 Jingshan W St,Beijing,Beijing,Xicheng
95,Jingshan Park (景山公园),Park,39.92353591625474,116.39057636260986,44 Jingshan W St,Beijing,Beijing,Xicheng
96,Gate of Heavenly Purity (乾清门),Historic Site,39.917988592418176,116.3906263074563,4 Jingshan Front St,Beijing,Beijing,Xicheng
97,Imperial Garden (御花园),Garden,39.92006113053615,116.39067176308858,4 Jingshan Front St,Beijing,Beijing,Xicheng
98,Palace of Earthly Tranquility (坤宁宫),Historic Site,39.91911130032792,116.39065962816352,4 Jingshan Front St,Beijing,Beijing,Xicheng
99,Monument to the People's Heroes (人民英雄纪念碑),Monument / Landmark,39.90316045291408,116.3914132118225,Tian'anmen Square,Beijing,Beijing,Xicheng
100,Tian'anmen Square (天安门广场),Plaza,39.90484766609122,116.39130592346193,Chang'an Ave,Beijing,Beijing,Xicheng
101,Shichahai Park (什刹海公园 Shichahai Park),Park,39.93244621864724,116.3857913017273,West Bank of Qianhai,Beijing,Beijing,Xicheng
